id,name,category,review_count,address,rating,rating_count,phone_number,operate_time,url,fordisabled,nursery,parking,pet,smokingroom,wifi,dayOfWeek_1,dayOfWeek_2,dayOfWeek_3,timeName_1,timeName_2,timeName_3,timeSE_1,timeSE_2,timeSE_3,appointment,delivery,pagekage
14,모수밀면,국수,54,"경기 수원시 장안구 율전로107번길 5 해생빌딩 1층 101, 102호",4.5,44.0,031-278-7978,영업시간 화~일 11:00 ~ 19:00 · 휴게시간 화~일 15:00 ~ 17:00,https://place.map.kakao.com/824423309,Y,N,Y,N,N,Y,화~일,,,영업시간,,,11:00 ~ 15:00,,,N,N,Y
15,서울24시감자탕해장국,감자탕,62,경기 수원시 장안구 서부로 2163 굿모닝빌딩 1층,3.5,39.0,031-268-6557,매일 00:00 ~ 24:00,https://place.map.kakao.com/21361365,Y,N,Y,N,N,Y,매일,,,영업시간,,,00:00 ~ 24:00,,,Y,N,Y
16,아늑,이탈리안,383,경기 수원시 장안구 서부로2106번길 36-4 1층,4.1,53.0,070-7766-7725,영업시간 매일 11:00 ~ 21:30,https://place.map.kakao.com/881887666,Y,N,Y,N,N,Y,매일,매일,,영업시간,라스트오더,,11:00 ~ 21:30,~ 21:00,,N,Y,Y
17,카페로디,카페,47,경기 수원시 장안구 화산로213번길 11 2층,4.6,5.0,0507-1476-5107,영업시간 화~토 12:00 ~ 23:00,https://place.map.kakao.com/935640855,,N,Y,Y,N,Y,화~토,일,,영업시간,영업시간,,12:00 ~ 23:00,13:00 ~ 22:00,,Y,,Y
18,은행나무참숯풍천민물장어,장어,1,경기 수원시 장안구 서부로2135번길 27,3.8,10.0,031-298-1314,영업시간 매일 10:00 ~ 22:00,https://place.map.kakao.com/27391641,Y,N,N,N,N,Y,매일,,,영업시간,,,10:00 ~ 22:00,,,Y,Y,Y
19,보영만두 성대직영점,분식,66,경기 수원시 장안구 화산로233번길 30 1층,3.7,35.0,031-227-6700,매일 10:00 ~ 01:00,https://place.map.kakao.com/21295932,N,N,N,N,N,Y,매일,,,영업시간,,,10:00 ~ 01:00,,,N,Y,Y
22,옥집,"호프,요리주점",0,경기 수원시 장안구 율전로108번길 20 2층,0.0,0.0,,월~금 16:00 ~ 01:00,https://place.map.kakao.com/1235356477,,N,Y,N,N,,월~금,토,,영업시간,영업시간,,16:00 ~ 01:00,15:00 ~ 02:00,,Y,,
23,토기장이오리&삼겹살전문점,"육류,고기",226,경기 수원시 장안구 서부로 2178 1층,4.4,18.0,031-271-1118,영업시간 월~토 11:00 ~ 23:00,https://place.map.kakao.com/727780795,,N,Y,N,N,Y,월~토,일,,영업시간,영업시간,,11:00 ~ 23:00,11:00 ~ 22:00,,Y,Y,Y
24,나츠비,일식,136,경기 수원시 장안구 서부로2106번길 22 1층,4.7,20.0,010-5790-0676,영업시간 월~토 17:30 ~ 24:00,https://place.map.kakao.com/1460865891,N,N,N,N,N,Y,월~토,,,영업시간,,,17:30 ~ 24:00,,,N,N,N
25,명륜진사갈비 수원성균관대점,갈비,93,경기 수원시 장안구 서부로 2129-5 1층,4.0,30.0,031-292-9333,영업시간 매일 11:30 ~ 22:00,https://place.map.kakao.com/1871700603,,,Y,N,N,Y,매일,매일,,영업시간,라스트오더,,11:30 ~ 22:00,~ 21:00,,Y,N,Y
26,최고집 원조 수구레,한식,139,경기 수원시 장안구 서부로 2107 룡호빌딩 1층,4.3,23.0,070-8843-4329,영업시간 화~금 16:00 ~ 23:00,https://place.map.kakao.com/1676208114,N,N,Y,N,N,Y,화~금,"토,일",,영업시간,영업시간,,16:00 ~ 23:00,12:00 ~ 23:00,,Y,N,Y
27,포동이네 성대점,"초밥,롤",190,경기 수원시 장안구 율전로98번길 6-2 1층,3.8,23.0,031-294-4988,영업시간 화~일 11:00 ~ 22:00,https://place.map.kakao.com/1234555779,,N,,N,N,,화~일,,,영업시간,,,11:00 ~ 22:00,,,Y,Y,Y
