id,name,category,review_count,address,rating,number,image_url,custom_category
21,옥집,요리주점,704,경기 수원시 장안구 화산로233번길 25 1층,4.4,031-298-5029,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20200511_278/1589196173780vOYQo_JPEG/KcWo4neBBeCvQv4Wqw18NQ35.jpg,양식
22,카마타케제면소 성대역사점,"우동,소바",871,경기 수원시 장안구 서부로 2149 4층 405호 카마타케제면소,4.48,0507-1433-5681,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20230730_141/1690697888318ax440_JPEG/image.jpg,일식
23,명륜진사갈비 수원성균관대점,"육류,고기요리",999+,경기 수원시 장안구 서부로 2129-5 1층,,031-292-9333,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20230210_70/1676008027428vvWWK_PNG/%B5%C8%C0%E5%C2%EE%B0%B3.png,한식
24,나츠비,일식당,827,경기 수원시 장안구 서부로2106번길 22 1층,,0507-1386-0676,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20230613_186/16866492495165FGjc_JPEG/KakaoTalk_20230613_182050882_12.jpg,일식
25,토기장이 오리&삼겹살 전문점,오리요리,999+,경기 수원시 장안구 서부로 2178,4.42,031-271-1118,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20220404_201/1649068365795ERuLQ_JPEG/1649067663059-24.jpg,한식
26,포동이네 성대점,"초밥,롤",952,경기 수원시 장안구 율전로98번길 6-2,4.52,031-294-4988,,일식
27,최고집 원조 수구레,한식,581,경기 수원시 장안구 서부로 2107 1층 최고집 원조 수구레,4.79,070-8843-4329,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20220709_9/1657377786433VL4ba_JPEG/Screenshot_20220709-230154_Gallery.jpg,한식
28,이라면본점,라면,295,경기 수원시 장안구 서부로2106번길 18,4.29,031-291-7611,,한식
29,예감쪽갈비 수원성대점,돼지고기구이,591,경기 수원시 장안구 율전로98번길 6-9 2층,4.52,0507-1320-9866,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20230616_52/1686877002374Tfq40_JPEG/1561849460656.jpg,한식
30,사거리다방,카페,445,경기 수원시 장안구 율전로85번길 2 상가 102호,4.45,0507-1435-4482,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=http://imagefarm.baemin.com/smartmenuimage/upload/image/2022/2/17/qcmk-OmgQTuxbKLIRp2ce2ZlWdLyJziq6eioBIl4d7vCweCq2mR9L5yyEPrgykuZYK9HcgjntEJUJUt85hYrWg==.jpg,카페
31,키와마루아지,일본식라면,759,경기 수원시 장안구 서부로2105번길 26-3 1층 키와마루아지,4.34,031-292-8858,,일식
32,미가라멘 성대본점,일본식라면,866,경기 수원시 장안구 서부로2106번길 38-2 1층,4.4,0507-1404-3375,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20200413_230/1586771837407WrYMl_JPEG/77mk1J5oQiF_u820w4YklYrU.jpg,일식
33,오스테리아우노,"스파게티,파스타전문",762,경기 수원시 장안구 율전로98번길 7 102호,4.81,0507-1438-0196,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20240202_46/1706810492585QyqnW_JPEG/%B0%ED%B8%A3%B0%EF%C1%B9%B6%F3.jpg,양식
34,정든닭발 성대점,닭발,497,경기 수원시 장안구 화산로233번길 61 2층 정든닭발 성대점,,0507-1315-2963,,한식
35,쟈스민,베트남음식,628,경기 수원시 장안구 화산로213번길 9-3,4.64,031-278-9886,,아시안
36,부라보쪽갈비 성대점,"육류,고기요리",563,경기 수원시 장안구 화산로233번길 10 1층 부라보쪽갈비,4.41,031-291-8592,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20210727_242/16273812693672JwFh_JPEG/mvifUv5MCGEGrkkGB6oBnAXO.jpg,한식
37,사우스스트릿,햄버거,339,경기 수원시 장안구 율전로 102-4 102호,4.57,0507-1321-1227,,버거
38,주량 성대직영점,요리주점,563,경기 수원시 장안구 서부로2105번길 26-8 101호,,0507-1342-3597,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20240401_234/1711956634180lzizg_JPEG/IMG_4258.jpeg,양식
39,성대곱창,"곱창,막창,양",806,경기 수원시 장안구 율전로 96 1층 성대곱창,4.52,0507-1351-2328,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20211111_288/1636619621699NbLdP_JPEG/2021-04-21-21-16-45-997.jpg,한식
40,담은샤브칼국수 직영1호점,"칼국수,만두",662,경기 수원시 장안구 화산로233번길 60 1층 정성담은샤브칼국수,4.51,031-291-1046,,한식
41,힌카쿠,일본식라면,371,경기 수원시 장안구 서부로2126번길 10,4.46,0507-1338-0169,,일식
42,Four Run Burger,햄버거,999+,경기 수원시 장안구 만석로19번길 11-7 2층 포런버거,,070-8285-7371,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230711_298%2F1689080977389Rvfcj_JPEG%2FKakaoTalk_20230711_220537780.jpg,버거
43,육연사 성균관대점,한식,139,경기 수원시 장안구 서부로2123번길 20 B동 101호,,0507-1492-2365,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20240216_82/17080818308978Lz80_JPEG/%BC%BC%C6%AE%B8%DE%B4%BA__%C7%D1%BB%E7%C0%B0%BC%BC%C6%AE.jpg,한식
44,드럼통돌구이,닭갈비,441,경기 수원시 장안구 율전로108번길 9,4.57,031-297-7161,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20230630_117/1688115122024lMQE9_JPEG/1688115109151.jpg,한식
45,하우짓 블랙,"카페,디저트",380,경기 수원시 장안구 화산로213번길 25 2층 하우짓 블랙,,0507-1399-7728,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20220519_165/1652947596720XGeGn_PNG/KakaoTalk_20220519_162046762.png,카페
46,율천회관,한식,105,경기 수원시 장안구 서부로2126번길 24 율천회관,,031-548-0321,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20230621_54/1687306060727Ce36W_JPEG/1687304494337.jpg,한식
47,택이네조개전골 성대점,조개요리,734,경기 수원시 장안구 율전로98번길 9 101호 택이네 조개전골,4.41,0507-1427-6201,,한식
48,육가든,"육류,고기요리",999+,경기 수원시 장안구 화산로233번길 62 1층 육가든,,0507-1402-9395,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20230529_187/1685350061302T4hEJ_JPEG/%B8%DE%B4%BA%C6%C7.jpg,한식
49,오르카커피룸,"카페,디저트",418,경기 수원시 장안구 화산로 235 101호,,0507-1400-7866,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20221026_275/1666777705004n4yaB_JPEG/105BA7C5-98A2-409A-BD75-C2BE4A05C939.jpeg,카페
50,정통집 수원성대점,돼지고기구이,263,경기 수원시 장안구 서부로2105번길 12 1층,4.34,031-898-9292,,한식
51,아무술집 성대직영점,"맥주,호프",377,경기 수원시 장안구 화산로233번길 56 101호,4.28,0507-1374-0317,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20230914_116/169468083492945nVb_JPEG/IMG_4898.jpeg,양식
52,인더비엣 수원성대점,베트남음식,902,경기 수원시 장안구 율전로108번길 23 인더비엣 수원성대점,,031-227-2007,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=http://imagefarm.baemin.com/smartmenuimage/upload/image/2024/1/2/0hzxb7LdqrVEiOo_SzHkh3fwQPZR8Y3UYqB3lDQTJhVXqOxaR--VhT72LYainZhNNuZ4jOGuWI0NJ3q2KeIUkg==.jpg,아시안
53,양푼동태탕,"매운탕,해물탕",999+,경기 수원시 장안구 서부로2168번길 13-10,4.38,031-242-6540,,한식
54,뎅과꼬치로 수원본점,"오뎅,꼬치",368,경기 수원시 장안구 서부로2105번길 26-8 102호,,0507-1409-0575,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20220922_112/1663790535584IN2jL_JPEG/KakaoTalk_20220824_125951401.jpg,일식
55,도래홍막창,"곱창,막창,양",458,경기 수원시 장안구 서부로2105번길 16-4 1층 도래홍막창,4.57,0507-1341-2630,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20200712_137/1594514654905FVABc_JPEG/_3Vy_d-8Cx3XIw-NgTQlaJLZ.jpeg.jpg,한식
56,도레미파스타,이탈리아음식,264,경기 수원시 장안구 서부로2106번길 26-15 101호,4.59,0507-1486-5002,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20220417_174/1650187787097P1Dlk_JPEG/20220417_030557.jpg,양식
57,아그집쭈꾸미 성대점,주꾸미요리,347,경기 수원시 장안구 화산로233번길 12 2층 아그집쭈꾸미 수원성대점,4.43,0507-1336-9158,,한식
58,예술상,요리주점,304,경기 수원시 장안구 율전로 92 107호,4.56,010-5574-9158,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20191022_147/1571743691622P0zDn_JPEG/G7UIgv49uNYqqL4LMUzRN7L2.jpg,양식
59,밀플랜 본점,"다이어트,샐러드",206,경기 수원시 장안구 율전로 90-6,,0507-1432-9445,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20211112_25/1636650194896yObwS_JPEG/F9EDC82A-450E-4E0B-BE5B-234BB0FD62C8.JPG,카페
60,성대목장,한식,355,경기 수원시 장안구 서부로2105번길 16-1 성대하이퍼,4.52,031-295-4090,,한식
61,주야,요리주점,324,경기 수원시 장안구 서부로2135번길 30 1층 주야,,0507-1311-1657,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20240419_172/1713517163780giy6o_JPEG/IMG_1703.jpeg,양식
62,국수파동,국수,307,경기 수원시 장안구 화산로233번길 64 1층,4.53,031-291-8599,,한식
63,감성,요리주점,88,경기 수원시 장안구 화산로233번길 55 1층,,0507-1406-6330,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20231101_147/1698802091403d5Xsc_JPEG/%B0%ED%B7%CE%C4%C9%28%BE%DF%C3%A4%2C%B4%DC%C8%A3%B9%DA%298900.jpg,양식
64,홍구등갈비,"육류,고기요리",639,경기 수원시 장안구 서부로2168번길 5-13 1층,4.37,031-255-8292,,한식
65,오리엔탈가든,아시아음식,999+,경기 수원시 장안구 만석로19번길 11-7 111호 대일,4.52,031-271-5208,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20210520_63/1621440311229d5cg3_JPEG/OpQeeqji-QosMbp6G7JfdJMu.jpg,아시안
66,신화쭈꾸미 성대점,주꾸미요리,642,경기 수원시 장안구 서부로2126번길 4,,0507-1483-7335,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20230614_200/1686734656888K3sjG_JPEG/KakaoTalk_20230613_182944345_01.jpg,한식
67,스타벅스 수원성균관대점,카페,999+,경기 수원시 장안구 서부로 2131,4.47,1522-3232,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190828_93%2F1566953601239OT9MQ_PNG%2FxX7Wv642gXMoTI0DAv0hRymS.png,카페
68,다또케이크,케이크전문,72,경기 수원시 장안구 화산로 235 301호,,0507-1422-1415,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20230719_265/168969887109681tdx_JPEG/25A1E9BE-6006-49B4-8C14-AE951BF633F8.jpeg,카페
69,최가네,한식,219,경기 수원시 장안구 서부로2126번길 27 . 1층,,0507-1330-6885,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20230517_219/1684305474992zhptP_JPEG/E4C1279D-6D4C-4F9C-8AE2-408A27B85511.jpeg,한식
70,청년다방 수원성균관대점,분식,836,경기 수원시 장안구 화산로233번길 35,4.43,031-298-0111,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20210415_124/1618466024111O8xJf_PNG/NzdiRla0wWS0bE4u0uA2wzgC.png,한식
71,소주방 율전점,"전통,민속주점",380,"경기 수원시 장안구 서부로2123번길 20-1 B동 103, 104호",,0507-1305-8192,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20240301_247/1709282630560gByd0_PNG/IMG_3221.png,양식
72,일성,일식당,184,경기 수원시 장안구 율전로 92 1층 105호,,0507-1436-0774,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20230320_242/1679238267039V7wsm_JPEG/KakaoTalk_20230316_223905750_06.jpg,일식
73,엉터리생고기 수원성대역점,"육류,고기요리",291,경기 수원시 장안구 화산로 231-10 동경빌딩 2층,4.47,031-227-9232,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20231012_13/1697043484876lAzQN_JPEG/temp_file.jpg,한식
74,정원,중식당,516,경기 수원시 장안구 서부로2123번길 34-3 2층,,031-546-1985,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20220921_278/1663736791846No0L7_JPEG/20220919_162041.jpg,중식
75,몽키키친,양식,133,경기 수원시 장안구 화산로203번길 34 1층,,0507-1353-8075,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20240320_130/1710915523591rU3r8_JPEG/AC62299B-C39A-49F4-95E9-10AD8F7429FD.jpeg,양식
76,백사104,요리주점,452,경기 수원시 장안구 화산로233번길 61 1층 백사104,,070-4007-1912,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20240408_151/1712505879349wyp1I_JPEG/%BF%C0%B4%D9%B8%AE%C6%A2%B1%E8.jpg,양식
77,백령도바지락칼국수,"칼국수,만두",544,경기 수원시 장안구 화산로233번길 49 2층,,031-295-0727,,한식
78,회조아,생선회,313,경기 수원시 장안구 화산로259번길 40 1층,4.5,0507-1335-5990,,한식
79,일미리금계찜닭 수원 성균관대점,찜닭,457,경기 수원시 장안구 서부로2126번길 26 1층,4.6,0507-1347-4657,,한식
80,율전방앗간,한식,336,경기 수원시 장안구 율전로98번길 18-12,4.38,0507-1337-0215,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20230123_13/16744483952980pA9E_JPEG/8499EA5E-86CD-469E-8201-E2E96EE0EFA8.jpeg,한식
81,우리소양평해장국 성대점,감자탕,999+,경기 수원시 장안구 서부로 2179,4.36,031-268-8889,,한식
82,생마차 수원성대점,이자카야,123,경기 수원시 장안구 화산로233번길 49,,0507-1357-9838,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20240402_13/1712036583182wtlkf_PNG/02._%B3%D7%B1%E2%B8%B6%BF%E4%B0%A1%B6%F3%BE%C6%B0%D4.png,양식
83,영통찌개지존 영통1호점,"찌개,전골",332,경기 수원시 장안구 화산로233번길 47 투다리,4.31,031-895-5638,,한식
84,합 성대직영2호점,요리주점,999+,경기 수원시 장안구 서부로2105번길 26-4 2층 합,,0507-1492-0703,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20230604_20/1685869120289tA8bV_JPEG/1685473988244-0.jpg,양식
85,옛날사람,요리주점,165,경기 수원시 장안구 화산로233번길 17 2층,4.66,0507-1324-9194,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20210605_1/1622888785651pVbNt_JPEG/1BwgEs_MdWJJ7AqrKU4J5w1k.jpg,양식
86,황금족발수원성대점,"족발,보쌈",999+,경기 수원시 장안구 서부로 2125 율전빌딩,4.42,031-292-9335,,한식
87,알촌 수원 성균관대점,퓨전음식,357,경기 수원시 장안구 서부로2106번길 32,4.57,031-227-7992,,아시안
88,본죽&비빔밥cafe 수원율전점,죽,466,경기 수원시 장안구 서부로 2113 1층 본죽 비빔밥cafe 수원율전점,4.3,031-291-6288,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20210401_218/1617234767232lFdv3_JPEG/nB3kO51ziIRketoBPe_vISSX.jpg,한식
89,주꼬로 성대점,술집,420,경기 수원시 장안구 서부로2105번길 26-5 102호,,0507-1348-9341,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20240427_254/1714194659146QWERp_JPEG/%B8%B6%B6%F3%C5%A9%B8%B2_%BC%F6%C1%A6%BA%F1.jpg,양식
90,벨라튀니지,양식,142,경기 수원시 장안구 서부로2106번길 21 왕돈까스,4.49,031-296-8327,,양식
91,동네아저씨 수원성아치점,"치킨,닭강정",136,경기 수원시 장안구 서부로2123번길 29 기인빌딩 2층,4.25,031-306-2888,,치킨
92,육전면사무소 수원성균관대점,한식,157,경기 수원시 장안구 서부로 2115 1층,,031-297-7979,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20230507_92/1683435674387YBYiV_JPEG/%B4%DF%B9%DF.jpg,한식
93,웅이네 coffee&dessert,"카페,디저트",281,경기 수원시 장안구 율전로 90-7 1층 웅이네 coffee&dessert,,0507-1352-5279,,카페
94,오아저씨철판,종합분식,50,경기 수원시 장안구 서부로2126번길 18 A동 1층 101호 좌측 오아저씨철판,,0507-1376-2407,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20221113_131/1668349447776txlK7_JPEG/KakaoTalk_20221113_232029467.jpg,한식
95,맥주호텔,"맥주,호프",340,경기 수원시 장안구 서부로2105번길 12 2층 맥주호텔,4.59,031-278-2220,,양식
96,천하일면 수원성대점,국수,270,경기 수원시 장안구 화산로233번길 46,4.5,031-227-4775,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20220228_81/1646045997962Pv2LG_JPEG/SmartSelect_20220228-195725.jpg,한식
97,상무네닭발집성대점,닭발,232,경기 수원시 장안구 율전로 93,4.39,031-292-8605,,한식
98,무지개맥주 성균관대점,"맥주,호프",254,경기 수원시 장안구 서부로2123번길 20 102호,,031-546-8932,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20220808_78/16599478596119cCBv_JPEG/%B4%EB%B0%FC%B7%C9%B8%D4%C5%C2%B1%B8%C0%CC.jpg,양식
99,버거스올마이티 수원성균관대점,햄버거,72,경기 수원시 장안구 율전로 92 1층 101호 버거스올마이티,,0507-1377-1645,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20240412_200/1712911062869idAjG_JPEG/%C4%A5%B8%AE%B5%B5%B1%D7%BC%BC%C6%AE.jpg,버거
100,원숭이초밥,"초밥,롤",677,경기 수원시 장안구 하률로 7 101호 원숭이초밥,,070-8813-7777,,일식
101,감스시,"초밥,롤",321,경기 수원시 장안구 서부로2123번길 17 우신빌딩 1층,4.53,031-253-3302,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190617_299%2F1560743109339jUD2G_JPEG%2FDikdHctXH-n2X5pAt0TsxfSw.jpg,일식
102,경복궁개성손만두메밀소바전문점,"칼국수,만두",999+,경기 수원시 장안구 서부로 2171 1층 gs주유소옆,4.39,0507-1348-2313,,한식
103,섬세한남자,"카페,디저트",288,경기 수원시 장안구 율전로 93 101호,4.81,0507-1466-2505,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230703_63%2F1688358754656SvzgI_JPEG%2F1687358779258.jpg,카페
104,양뜰양꼬치,양꼬치,70,경기 수원시 장안구 화산로233번길 54 1층,,0507-1339-8628,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20231203_79/1701593113730gWSCR_JPEG/KakaoTalk_20231203_173136111_01.jpg,아시안
105,스타디움 펍,"맥주,호프",29,경기 수원시 장안구 화산로213번길 11 지하1층,,0507-1343-5342,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20240129_3/1706513624694qD5l3_JPEG/KakaoTalk_20240129_162204784_03.jpg,양식
106,포크포크매콤돈가스칡불냉면,돈가스,609,경기 수원시 장안구 서부로2106번길 14,4.39,031-278-4209,,한식
107,본찌돈까스 성대점,돈가스,482,경기 수원시 장안구 서부로2106번길 22,4.46,031-297-1001,,한식
108,롤링파스타 수원성균관대점,"스파게티,파스타전문",166,경기 수원시 장안구 서부로 2125 2층,,0507-1351-6515,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=https://ldb-phinf.pstatic.net/20201015_99/1602748772328hN4z1_JPEG/IAFKAy6yk7YKcATNGctMWOuN.jpg,양식
109,달쏭쿠키제작소,케이크전문,236,경기 수원시 장안구 서부로2167번길 51 . 1층 104호(율전동)달쏭쿠키제작소,,0507-1477-0623,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240429_221%2F1714395179522IXk0g_JPEG%2FIMG_8141.jpeg,카페
110,1인자24시감자탕뼈해장국 율전점,감자탕,539,경기 수원시 장안구 화산로233번길 43,4.21,031-292-1020,,한식
111,디인카페,"카페,디저트",240,경기 수원시 장안구 덕영대로439번길 45 디인카페,,1661-8504,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=f320_320&src=http://imagefarm.baemin.com/smartmenuimage/upload/image/2021/12/2/xw-VKTJoAk1RZE8vc4DWLB8TEoYTCS6iu3hxMBfpsrA=.jpg,카페
112,루미네숯불닭갈비,닭갈비,372,경기 수원시 장안구 서부로2135번길 13 1층,4.49,031-292-1592,,한식
113,먹깨비김밥,김밥,999+,경기 수원시 장안구 서부로 2129-1,4.26,031-293-3369,,분식
